TIME,ARDUINO_TIME,i,M1_temperature,M1_tgt_cur,M1_current,M1_velocity,M1_angle
0.00010037422180175781,18,0,0,271,-5,258,0.00
0.003696918487548828,21,0,0,316,-28,211,0.00
0.00795602798461914,24,0,0,361,-26,118,0.00
0.011503934860229492,27,0,0,406,-2,32,0.00
0.01469731330871582,30,0,0,452,25,16,0.00
0.015084505081176758,33,0,0,497,52,107,0.00
0.019338369369506836,36,0,0,542,31,238,0.00
0.023473024368286133,39,0,0,587,14,274,0.00
0.028311491012573242,42,0,0,632,-9,255,0.00
0.02873849868774414,45,0,0,678,-49,184,1.00
0.03156876564025879,49,0,0,738,-26,79,1.00
0.0355830192565918,52,0,0,783,-14,16,1.00
0.03947877883911133,56,0,0,843,28,41,1.00
0.03982257843017578,59,0,0,889,51,162,1.00
0.04459333419799805,62,0,0,934,25,280,1.00
0.04811525344848633,65,0,0,979,2,313,1.00
0.052445411682128906,68,0,0,1024,-40,277,1.00
0.05336785316467285,71,0,0,1069,-66,129,1.00
0.05706906318664551,74,0,0,1114,-26,0,1.00
0.06066274642944336,77,0,0,1160,3,-30,1.00
0.0645906925201416,80,0,0,1205,52,27,1.00
0.06546902656555176,83,0,0,1250,50,197,1.00
0.06897163391113281,86,0,0,1295,20,296,1.00
0.07261204719543457,89,0,0,1340,-2,277,2.00
0.07657742500305176,92,0,0,1385,-29,195,2.00
0.08027005195617676,95,0,0,1430,-22,74,2.00
0.08054542541503906,99,0,0,1491,4,19,2.00
0.08478236198425293,102,0,0,1536,50,30,2.00
0.08880972862243652,105,0,0,1581,53,186,2.00
0.09278392791748047,109,0,0,1641,20,293,2.00
0.09324431419372559,112,0,0,1686,2,302,2.00
0.09709763526916504,115,0,0,1731,-54,249,2.00
0.1012868881225586,118,0,0,1776,-74,112,2.00
0.10524511337280273,121,0,0,1821,-30,0,2.00
0.10900163650512695,124,0,0,1867,12,-27,2.00
0.10949468612670898,127,0,0,1912,48,52,2.00
0.11359500885009766,131,0,0,1972,35,219,2.00
0.11772489547729492,134,0,0,2017,13,302,3.00
0.12167811393737793,137,0,0,2062,-17,310,3.00
0.12233591079711914,140,0,0,2107,-67,205,3.00
0.12568163871765137,144,0,0,2167,-47,43,3.00
0.13005566596984863,147,0,0,2212,0,-27,3.00
0.13401079177856445,150,0,0,2257,52,0,3.00
0.13769817352294922,153,0,0,2302,51,192,3.00
0.13818073272705078,157,0,0,2362,22,274,3.00
0.14215636253356934,160,0,0,2407,7,274,3.00
0.14612793922424316,163,0,0,2452,-12,222,3.00
0.15016436576843262,166,0,0,2497,-33,145,4.00
0.15042328834533691,169,0,0,2542,-26,68,4.00
0.15469980239868164,172,0,0,2587,2,30,4.00
0.15880632400512695,175,0,0,2632,23,46,4.00
0.16282176971435547,178,0,0,2677,33,137,4.00
0.16645455360412598,181,0,0,2722,23,233,4.00
0.1668860912322998,186,0,0,2797,-4,277,4.00
0.17080974578857422,189,0,0,2841,-18,260,4.00
0.17498540878295898,192,0,0,2886,-44,178,4.00
0.17896413803100586,195,0,0,2931,-33,68,4.00
0.17935562133789062,198,0,0,2976,-5,0,4.00
0.18321466445922852,201,0,0,3021,37,24,4.00
0.18820476531982422,204,0,0,3066,59,145,4.00
0.19154787063598633,207,0,0,3111,28,271,4.00
0.19506335258483887,210,0,0,3155,7,271,5.00
0.19531941413879395,214,0,0,3215,-21,219,5.00
0.19956445693969727,217,0,0,3260,-31,131,5.00
0.20736050605773926,220,0,0,3305,-16,52,5.00
0.20778131484985352,223,0,0,3350,24,27,5.00
0.20819902420043945,227,0,0,3409,53,82,5.00
0.21183204650878906,230,0,0,3454,20,236,5.00
0.21586060523986816,233,0,0,3499,22,288,5.00
0.21985363960266113,236,0,0,3543,-16,288,5.00
0.2238445281982422,239,0,0,3588,-72,205,5.00
0.22424006462097168,243,0,0,3648,-56,46,6.00
0.22829198837280273,246,0,0,3692,-17,0,6.00
0.23234152793884277,249,0,0,3737,23,8,6.00
0.23636126518249512,252,0,0,3782,42,129,6.00
0.23685812950134277,255,0,0,3826,17,255,6.00
0.24058771133422852,258,0,0,3871,-6,282,6.00
0.2447056770324707,261,0,0,3916,-34,241,6.00
0.24858474731445312,264,0,0,3960,-42,120,6.00
0.2525341510772705,268,0,0,4020,-20,21,6.00
0.2529783248901367,272,0,0,4079,24,0,6.00
0.2569444179534912,275,0,0,4124,74,134,6.00
0.26101064682006836,278,0,0,4168,30,282,6.00
0.26488399505615234,281,0,0,4213,13,293,6.00
0.26531124114990234,284,0,0,4257,-30,258,6.00
0.268965482711792,287,0,0,4302,-50,140,7.00
0.27329492568969727,290,0,0,4346,-32,10,7.00
0.27735114097595215,294,0,0,4406,9,-24,7.00
0.28113532066345215,297,0,0,4450,65,2,7.00
0.2813682556152344,300,0,0,4494,42,233,7.00
0.285797119140625,303,0,0,4539,14,313,7.00
0.289747953414917,306,0,0,4583,-30,329,7.00
0.29357004165649414,309,0,0,4628,-87,197,7.00
0.29749274253845215,313,0,0,4687,-48,21,7.00
0.29773736000061035,316,0,0,4731,-11,-32,7.00
0.30216145515441895,319,0,0,4775,36,0,7.00
0.30759096145629883,322,0,0,4820,61,148,7.00
0.310230016708374,326,0,0,4879,26,282,7.00
0.3105192184448242,329,0,0,4923,6,293,8.00
0.31400418281555176,332,0,0,4967,-24,238,8.00
0.3183736801147461,335,0,0,5011,-31,134,8.00
0.32219767570495605,338,0,0,5056,-21,35,8.00
0.3261117935180664,341,0,0,5100,18,0,8.00
0.3266611099243164,344,0,0,5144,62,52,8.00
0.3306615352630615,347,0,0,5188,54,211,8.00
0.33453869819641113,350,0,0,5232,19,285,8.00
0.3386051654815674,355,0,0,5306,-13,274,8.00
0.3388705253601074,358,0,0,5350,-36,216,8.00
0.34296417236328125,361,0,0,5394,-44,123,8.00
0.3468778133392334,364,0,0,5438,-24,46,8.00
0.35101962089538574,367,0,0,5482,5,30,8.00
0.354809045791626,370,0,0,5526,28,60,9.00
0.3552565574645996,373,0,0,5570,31,156,9.00
0.3591616153717041,376,0,0,5614,16,249,9.00
0.3632204532623291,379,0,0,5658,-19,274,9.00
0.36722636222839355,383,0,0,5717,-61,200,9.00
0.3675220012664795,386,0,0,5760,-36,76,9.00
0.3716568946838379,389,0,0,5804,-19,0,9.00
0.3755338191986084,392,0,0,5848,35,0,9.00
0.37950706481933594,395,0,0,5892,65,137,9.00
0.383411169052124,399,0,0,5950,30,263,9.00
0.3837273120880127,402,0,0,5994,13,269,9.00
0.38818883895874023,405,0,0,6038,-9,249,9.00
0.3922698497772217,408,0,0,6082,-37,162,10.00
0.396160364151001,412,0,0,6140,-30,85,10.00
0.39691591262817383,415,0,0,6184,2,30,10.00
0.4001162052154541,418,0,0,6227,25,46,10.00
0.40448856353759766,421,0,0,6271,36,129,10.00
0.4083218574523926,424,0,0,6315,29,230,10.00
0.4122309684753418,427,0,0,6358,1,263,10.00
0.4124894142150879,431,0,0,6417,-32,222,10.00
0.4165520668029785,434,0,0,6460,-45,120,10.00
0.4209306240081787,437,0,0,6504,-24,41,10.00
0.4246799945831299,441,0,0,6562,-6,21,10.00
0.428804874420166,444,0,0,6605,28,65,10.00
0.42922139167785645,447,0,0,6649,39,189,10.00
0.4336831569671631,451,0,0,6706,19,277,10.00
0.43701171875,454,0,0,6750,-15,271,11.00
0.441042423248291,457,0,0,6793,-31,195,11.00
0.44499754905700684,460,0,0,6837,-28,71,11.00
0.4455580711364746,463,0,0,6880,3,0,11.00
0.4493529796600342,466,0,0,6923,45,-16,11.00
0.4533956050872803,470,0,0,6981,71,145,11.00
0.4573225975036621,473,0,0,7024,32,296,11.00
0.4612269401550293,476,0,0,7067,7,307,11.00
0.4615352153778076,479,0,0,7111,-44,255,11.00
0.4657094478607178,483,0,0,7168,-75,120,11.00
0.46991872787475586,487,0,0,7226,-31,13,11.00
0.47396397590637207,490,0,0,7269,8,0,11.00
0.47438573837280273,493,0,0,7312,35,76,11.00
0.47836852073669434,496,0,0,7355,32,225,12.00
0.48220157623291016,499,0,0,7398,2,277,12.00
0.48616695404052734,502,0,0,7441,-21,258,12.00
