time,tgt_cur,temp,pre_cur,pre_vel,ang[1],tgt_torq,run_mode
2130,-68,0,0,0,0,-1.41,0
2137,-68,0,0,0,0,-1.41,0
2141,-82,74,0,0,-3.2,-1.7,0
2147,-82,123,-56,-140,-3.2,-1.7,0
2154,-82,124,-58,-420,-3.2,-1.7,0
2160,-85,124,-65,-650,-3.6,-1.77,0
2167,-85,124,-66,-862,-3.6,-1.77,0
2173,-89,79,-71,-1120,-4,-1.84,0
2179,-92,28,-67,-1376,-4.4,-1.91,0
2185,-99,22,-73,-1631,-5.2,-2.05,0
2192,-103,22,-89,-1878,-5.6,-2.13,0
2198,-110,22,-77,-2227,-6.4,-2.29,0
2204,-122,22,-92,-2510,-7.6,-2.53,0
2211,-135,22,-104,-2875,-8.8,-2.8,0
2218,-149,22,-98,-3337,-10,-3.09,0
2224,-164,22,-117,-3699,-11.2,-3.4,0
2230,-187,22,-102,-4216,-12.8,-3.86,0
2237,-218,22,-138,-4790,-14.8,-4.5,0
2243,-252,22,-165,-5358,-16.8,-5.2,0
2251,-294,22,-211,-5946,-19.2,-6.08,0
2257,-336,22,-273,-6355,-21.6,-6.94,0
2263,-379,22,-343,-6569,-24.4,-7.82,0
2270,-411,22,-390,-6663,-27.2,-8.48,0
2276,-429,22,-412,-6759,-30,-8.86,0
2282,-433,22,-495,-6643,-33.2,-8.95,0
2289,-424,22,-472,-6427,-36,-8.76,0
2296,-406,22,-459,-5993,-38.8,-8.39,0
2303,-384,22,-433,-5625,-41.6,-7.93,0
2309,-364,22,-405,-5229,-44,-7.51,0
2315,-347,22,-384,-4993,-46,-7.16,0
2322,-329,22,-380,-4776,-48.4,-6.8,0
2328,-314,22,-358,-4424,-50.4,-6.49,0
2335,-301,22,-346,-4150,-52.4,-6.22,0
2342,-291,22,-349,-3606,-54,-6,0
2348,-280,22,-332,-3100,-55.6,-5.78,0
2354,-266,22,-327,-2658,-57.2,-5.5,0
2361,-260,22,-298,-2353,-58.4,-5.36,0
2367,-254,22,-275,-2197,-59.2,-5.26,0
2374,-243,22,-262,-2169,-60.4,-5.02,0
2381,-239,22,-236,-2271,-61.2,-4.93,0
2388,-227,22,-226,-2364,-62.4,-4.68,0
2394,-225,22,-213,-2606,-63.2,-4.65,0
