TIME,ARDUINO_TIME,i,M1_temperature,M1_tgt_cur,M1_current,M1_velocity,M1_angle
0.00010251998901367188,8,0,0,120,-6,0,0.00
0.004342317581176758,11,0,0,165,4,0,0.00
0.005908012390136719,15,0,0,226,13,21,0.00
0.008427858352661133,18,0,0,271,14,19,0.00
0.01224827766418457,21,0,0,316,17,46,0.00
0.016085147857666016,24,0,0,361,15,79,0.00
0.019757747650146484,27,0,0,406,14,104,0.00
0.020493507385253906,30,0,0,452,12,129,0.00
0.02434396743774414,33,0,0,497,8,129,0.00
0.028209209442138672,36,0,0,542,2,126,0.00
0.0320584774017334,39,0,0,587,2,118,0.00
0.03234696388244629,42,0,0,632,15,93,0.00
0.036475181579589844,45,0,0,678,16,71,0.00
0.04051375389099121,48,0,0,723,23,68,0.00
0.040869712829589844,51,0,0,768,25,76,0.00
0.04472041130065918,54,0,0,813,17,104,0.00
0.048996686935424805,58,0,0,873,28,129,0.00
0.05288290977478027,61,0,0,919,24,148,0.00
0.05676889419555664,64,0,0,964,18,175,0.00
0.05751180648803711,67,0,0,1009,19,175,0.00
0.06149625778198242,70,0,0,1054,16,175,0.00
0.0653219223022461,73,0,0,1099,9,175,1.00
0.06907868385314941,76,0,0,1145,-3,167,1.00
0.06951165199279785,79,0,0,1190,6,151,1.00
0.07351970672607422,82,0,0,1235,7,140,1.00
0.07745480537414551,85,0,0,1280,11,126,1.00
0.08142876625061035,89,0,0,1340,9,131,1.00
0.08201289176940918,92,0,0,1385,18,131,1.00
0.08553314208984375,95,0,0,1430,9,151,1.00
0.09000205993652344,99,0,0,1491,12,151,1.00
0.09379124641418457,102,0,0,1536,10,140,1.00
0.09785962104797363,105,0,0,1581,14,140,1.00
0.09829258918762207,108,0,0,1626,14,140,1.00
0.1019296646118164,111,0,0,1671,17,129,1.00
0.10600709915161133,114,0,0,1716,20,115,2.00
0.11003518104553223,118,0,0,1776,29,104,2.00
0.11031246185302734,121,0,0,1821,28,112,2.00
0.11426877975463867,124,0,0,1867,32,131,2.00
0.11861467361450195,127,0,0,1912,30,151,2.00
0.12253999710083008,130,0,0,1957,28,175,2.00
0.12666869163513184,133,0,0,2002,21,189,2.00
0.1271824836730957,137,0,0,2062,18,205,2.00
0.13073492050170898,140,0,0,2107,3,205,2.00
0.13504242897033691,144,0,0,2167,7,192,2.00
0.13888955116271973,147,0,0,2212,3,153,2.00
0.14264774322509766,150,0,0,2257,-6,153,2.00
0.14310693740844727,153,0,0,2302,9,131,3.00
0.14731407165527344,156,0,0,2347,6,120,3.00
0.1511847972869873,159,0,0,2392,11,129,3.00
0.15517091751098633,162,0,0,2437,11,137,3.00
0.15562129020690918,166,0,0,2497,9,140,3.00
0.15952467918395996,169,0,0,2542,17,137,3.00
0.16358065605163574,172,0,0,2587,21,131,3.00
0.16766834259033203,175,0,0,2632,18,134,3.00
0.17154288291931152,178,0,0,2677,21,134,3.00
0.1719367504119873,181,0,0,2722,19,129,3.00
0.17578887939453125,185,0,0,2782,27,131,3.00
0.1798093318939209,188,0,0,2826,28,129,3.00
0.18386030197143555,192,0,0,2886,29,142,3.00
0.18443059921264648,195,0,0,2931,9,164,3.00
0.18795418739318848,198,0,0,2976,24,175,4.00
0.1921238899230957,201,0,0,3021,15,195,4.00
0.19618511199951172,204,0,0,3066,9,216,4.00
0.20011568069458008,207,0,0,3111,5,200,4.00
0.20038485527038574,210,0,0,3155,-1,175,4.00
0.20437359809875488,213,0,0,3200,8,137,4.00
0.20860815048217773,216,0,0,3245,9,109,4.00
0.21254944801330566,220,0,0,3305,17,96,4.00
0.21300601959228516,223,0,0,3350,26,104,4.00
0.21675634384155273,227,0,0,3409,22,118,4.00
0.220916748046875,230,0,0,3454,25,126,4.00
0.22477078437805176,233,0,0,3499,24,148,4.00
0.22876524925231934,236,0,0,3543,27,153,5.00
0.22905325889587402,239,0,0,3588,20,145,5.00
0.23307108879089355,242,0,0,3633,22,151,5.00
0.2371208667755127,246,0,0,3692,22,153,5.00
0.2411658763885498,249,0,0,3737,23,153,5.00
0.245164155960083,252,0,0,3782,26,153,5.00
0.24574613571166992,255,0,0,3826,24,164,5.00
0.24968171119689941,258,0,0,3871,23,159,5.00
0.2537543773651123,261,0,0,3916,27,175,5.00
0.25759029388427734,264,0,0,3960,13,186,5.00
0.2580702304840088,268,0,0,4020,0,203,5.00
0.26183247566223145,272,0,0,4079,0,189,5.00
0.26627087593078613,275,0,0,4124,-8,175,6.00
0.27007341384887695,278,0,0,4168,-1,153,6.00
0.2737736701965332,281,0,0,4213,-2,123,6.00
0.2740490436553955,284,0,0,4257,5,109,6.00
0.2781193256378174,287,0,0,4302,12,96,6.00
0.2822606563568115,290,0,0,4346,5,101,6.00
0.28623509407043457,293,0,0,4391,22,109,6.00
0.2865779399871826,296,0,0,4435,27,129,6.00
0.29036378860473633,300,0,0,4494,7,137,6.00
0.2944920063018799,303,0,0,4539,28,153,6.00
0.29871082305908203,306,0,0,4583,18,156,6.00
0.3025224208831787,309,0,0,4628,19,175,6.00
0.3030219078063965,313,0,0,4687,23,156,6.00
0.30727100372314453,316,0,0,4731,16,153,7.00
0.3112912178039551,319,0,0,4775,17,173,7.00
0.3150050640106201,323,0,0,4834,12,156,7.00
0.3187408447265625,326,0,0,4879,13,159,7.00
